x,y
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.000000000000001,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.000000000000002,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.000000000000004,0.0
28.999999999999996,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
50.0,1.0
50.0,2.0
50.0,3.0
50.0,4.0
50.0,5.0
50.0,6.0
50.0,7.000000000000001
50.0,8.0
50.0,9.0
50.0,10.0
50.0,11.0
50.0,12.0
50.0,13.0
50.0,14.000000000000002
50.0,15.0
50.0,16.0
50.0,17.0
50.0,18.0
50.0,19.0
50.0,20.0
50.0,21.0
50.0,22.0
50.0,23.0
50.0,24.0
50.0,25.0
50.0,26.0
50.0,27.0
50.0,28.000000000000004
50.0,28.999999999999996
50.0,30.0
50.0,31.0
50.0,32.0
50.0,33.0
50.0,34.0
50.0,35.0
50.0,36.0
50.0,37.0
50.0,38.0
50.0,39.0
50.0,40.0
50.0,41.0
50.0,42.0
50.0,43.0
50.0,44.0
50.0,45.0
50.0,46.0
50.0,47.0
50.0,48.0
50.0,49.0
50.0,50.0
49.0,50.0
48.0,50.0
47.0,50.0
46.0,50.0
45.0,50.0
44.0,50.0
43.0,50.0
42.0,50.0
41.0,50.0
40.0,50.0
39.0,50.0
38.0,50.0
37.0,50.0
36.0,50.0
35.0,50.0
34.0,50.0
33.0,50.0
32.0,50.0
31.0,50.0
30.0,50.0
29.0,50.0
28.0,50.0
27.0,50.0
26.0,50.0
25.0,50.0
24.0,50.0
23.0,50.0
21.999999999999996,50.0
21.000000000000004,50.0
20.0,50.0
19.0,50.0
18.0,50.0
17.0,50.0
16.0,50.0
15.0,50.0
14.0,50.0
13.0,50.0
12.0,50.0
11.0,50.0
10.0,50.0
9.0,50.0
8.0,50.0
7.0,50.0
6.0,50.0
5.0,50.0
4.0,50.0
3.0,50.0
2.0,50.0
1.0,50.0
0.0,50.0
0.0,49.0
0.0,48.0
0.0,47.0
0.0,46.0
0.0,45.0
0.0,44.0
0.0,43.0
0.0,42.0
0.0,41.0
0.0,40.0
0.0,39.0
0.0,38.0
0.0,37.0
0.0,36.0
0.0,35.0
0.0,34.0
0.0,33.0
0.0,32.0
0.0,31.0
0.0,30.0
0.0,29.0
0.0,28.0
0.0,27.0
0.0,26.0
0.0,25.0
0.0,24.0
0.0,23.0
0.0,21.999999999999996
0.0,21.000000000000004
0.0,20.0
0.0,19.0
0.0,18.0
0.0,17.0
0.0,16.0
0.0,15.0
0.0,14.0
0.0,13.0
0.0,12.0
0.0,11.0
0.0,10.0
0.0,9.0
0.0,8.0
0.0,7.0
0.0,6.0
0.0,5.0
0.0,4.0
0.0,3.0
0.0,2.0
0.0,1.0
49.0,20.0
48.0,20.0
47.0,20.0
46.0,20.0
45.0,20.0
44.0,20.0
43.0,20.0
42.0,20.0
41.0,20.0
40.0,20.0
39.0,20.0
38.0,20.0
37.0,20.0
36.0,20.0
35.0,20.0
34.0,20.0
33.0,20.0
32.0,20.0
31.0,20.0
30.0,20.0
29.0,20.0
28.0,20.0
27.0,20.0
26.0,20.0
25.0,20.0
24.0,20.0
23.0,20.0
21.999999999999996,20.0
